[-0.0021927197053390746, -0.001402789603225596]
[-0.0007184302123312003, 0.00035925268809083866]
[-0.0031021512971733944, 0.00041656896679553856]
[-0.001763379260534631, 0.0017660807523557642]
[-0.0019726928428836776, 0.0016736676385408211]
[-0.0030386798023644968, 0.000340934256276737]
[-0.0007229414484559715, 0.0003597937521211958]
[-0.0023024273857072397, -0.001302091322072263]
[-0.0013582007723763612, -0.0013167458922298536]
[-0.0008447383010741216, -0.0004626856934357715]
[-0.002797144986928568, -0.0004036848469440857]
[-0.0010050310203665869, 0.0014258208329162303]
[-0.002501383528190182, 0.0013669548555289845]
[-0.0025347822813080456, 0.0010486378350136466]
[-0.001024597655970405, 0.0010386027539022596]
[-0.002710427432897844, -0.0008139073860541357]
[-0.0007454133846328537, -0.0008276220306823179]
[-0.001302768701226975, -0.0010054931088159247]
[-0.0021709975020702543, -0.0009602971651798686]
[-0.000566887144768824, 0.000767990872207136]
[-0.0027453768166064707, 0.0007490307260815121]
[-0.0018026616502156145, 0.0014021426648139906]
[-0.0015605976219112694, 0.0013717988962250877]
[-0.0027647351107664697, -0.00011700455253260689]
[-0.0005019829114443208, -0.0001281891946176561]
[-0.0018839196136872655, -0.00114479440230153]
[-0.0014245138222429565, -0.0011241334113716306]
[-0.0005333341914367518, 2.1249064808825935e-05]
[-0.0026170851346934976, 3.8117602567000475e-05]
[-0.0010686424806395367, 0.0013392769103651725]
[-0.002108849514282196, 0.0012995343817986116]
[-0.0024450758494384273, 0.0005537606550285457]
[-0.0006482732219359466, 0.0005478874731343619]
[-0.002361833599485663, -0.0008903226926768593]
[-0.0007798409838757903, -0.00089775202809661]
[-0.0008565436802617232, -0.0005848219880282279]
[-0.0021570569702641373, -0.0005438944896463127]
[-0.0005411206767038657, 0.0009296002328022107]
[-0.002464730961854289, 0.000890319604884296]
[-0.0018534466223039392, 0.0009982257853264481]
[-0.0010830086615712942, 0.0010002314694707998]
[-0.002563830004368328, -0.00036893032393625624]
[-0.00040959398080386844, -0.0004004749912458472]
[-0.0013833903929495739, -0.0008885679224236442]
[-0.0015091805755941545, -0.0008388234688379015]
[-0.00034775464191949546, 0.00033923514681577505]
[-0.002502568787027204, 0.000307061035421774]
[-0.0011709856975639643, 0.0011076891662116645]
[-0.0016253607476506907, 0.0011184533734001217]
[-0.0024192540986079925, 0.0002258836559121402]
[-0.00038794546139597763, 0.00018006287336325144]
[-0.0019118527670166918, -0.0008377669631491891]
[-0.0008666420662633012, -0.0007935373362087939]
[-0.0005032895705179286, -0.00022969194337918442]
[-0.0022073921263001117, -0.0002519839728424289]
[-0.0005947068277586398, 0.000888316649430787]
[-0.002077372538545008, 0.0009061246132028994]
[-0.0019722982822115154, 0.0006995461497848326]
[-0.000676343590029993, 0.0006520638670419326]
[-0.0022571291870820964, -0.0004940409477924845]
[-0.0004077387497025131, -0.0004653599172868006]
[-0.000914820392916238, -0.0006043443544579974]
[-0.0016700678029490101, -0.0006171927432568891]
[-0.00027513019915070824, 0.0004473860657319695]
[-0.0022860014462574574, 0.00046797640248547046]
[-0.0013586487264370256, 0.0009159157104490084]
[-0.00114496568497513, 0.0008785987572226261]
[-0.002306618050742615, -2.407692615558066e-06]
[-0.0002419463452636439, 6.667898840850839e-06]
[-0.0014194454135371265, -0.0006910904191819167]
[-0.0010505527354136013, -0.0006967375538748932]
[-0.0002736505376979004, -4.9937393383880924e-05]
[-0.002186049809013879, -3.2350333006414544e-05]
[-0.0007562427169886532, 0.000833321485983772]
[-0.001620173218611215, 0.0008141744715350896]
[-0.002048130309740326, 0.0004615625378200927]
[-0.0003817230645521974, 0.0004527767595927934]
[-0.0018399827028003912, -0.0004964090668060361]
[-0.0005231852400420234, -0.0004973974909374679]
[-0.0005508529208148039, -0.0004374402782570952]
[-0.001812658629635533, -0.00042850259505700095]
[-0.00032731881270142704, 0.0005083634330849129]
[-0.001941262726594284, 0.0005098358543918491]
[-0.0015651340072217468, 0.0007489252463487167]
[-0.0007464051226488411, 0.0007281670073873148]
[-0.0020402464945479815, -0.00011512998190754686]
[-0.00022215946857750968, -0.0001132451335646989]
[-0.0009866598783470903, -0.0005997704174863783]
[-0.0012821969694235824, -0.0006032386067084117]
[-0.00017009444284010744, 6.9205236174541e-05]
[-0.0020084518620565595, 8.810723416718957e-05]
[-0.0010033054794509333, 0.0007811118737532097]
[-0.0011942897529988589, 0.0007559913121144152]
[-0.0019631186973007586, 0.0003074500765908039]
